QP=22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Encode Order, Type, POC, QP, Bits, Scenecut, RateFactor, Y PSNR, U PSNR, V PSNR, YUV PSNR, SSIM, SSIM(dB), Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8
10, I-SLICE,10,20.2,1036680,0,25.087,45.388,46.987,46.951,45.783,0.98475,18.167,19,  -, -,0.00%,0.00%,0.00%,2.90%,3.43%,8.85%,4.80%,3.24%,19.92%,5.89%,1.99%,28.67%,20.30%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
11, P-SLICE,11,20.19,252416,0,28,44.385,46.738,46.579,44.953,0.98138,17.3,18,10, -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.05%,0.00%,0.44%,0.00%,1.77%,16.05%,22.65%,27.16%,0.00%,0.50%,2.55%,6.97%,0.02%,1.35%,5.91%,14.55%
12, P-SLICE,12,20.2,289280,0,28,44.325,46.693,46.54,44.898,0.981174,17.252,17, 11 10 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,0.00%,0.40%,0.00%,2.00%,16.08%,25.23%,30.61%,0.00%,0.34%,2.32%,5.71%,0.05%,0.85%,4.14%,12.21%
13, P-SLICE,13,20.17,290960,0,28,44.294,46.625,46.522,44.864,0.98105,17.224,16, 12 11 10 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.05%,0.00%,0.00%,0.55%,0.00%,2.29%,13.82%,26.01%,32.59%,0.00%,0.41%,2.18%,5.30%,0.07%,0.67%,4.47%,11.57%
14, P-SLICE,14,20.18,293408,0,28,44.279,46.575,46.473,44.84,0.980977,17.207,15, 13 12 11 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.00%,0.16%,0.00%,0.49%,0.00%,2.35%,14.02%,24.86%,34.58%,0.00%,0.14%,1.81%,5.68%,0.05%,0.81%,4.09%,10.95%
15, I-SLICE,15,20.18,1036160,0,25.087,45.381,46.993,46.932,45.776,0.984742,18.165,14,  -, -,0.00%,0.00%,0.00%,2.99%,3.56%,8.05%,5.55%,3.29%,18.37%,5.99%,1.72%,29.57%,20.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
16, P-SLICE,16,20.19,257624,0,28,44.39,46.724,46.555,44.952,0.981388,17.302,13,15, -,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.02%,0.00%,0.03%,0.02%,0.00%,0.30%,0.00%,1.81%,15.12%,24.34%,25.59%,0.00%,0.26%,2.14%,5.43%,0.00%,1.30%,6.22%,17.41%
17, P-SLICE,17,20.23,296168,0,28,44.322,46.684,46.519,44.892,0.981178,17.253,12, 16 15 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.07%,0.02%,0.00%,0.45%,0.00%,2.11%,13.54%,27.35%,31.74%,0.00%,0.21%,1.65%,5.42%,0.02%,0.96%,4.46%,12.01%
18, P-SLICE,18,20.18,295072,0,28,44.291,46.672,46.514,44.866,0.981044,17.222,11, 17 16 15 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.07%,0.03%,0.45%,0.00%,2.41%,13.46%,24.46%,32.64%,0.00%,0.23%,2.06%,7.06%,0.05%,0.78%,4.45%,11.84%
19, P-SLICE,19,20.17,292208,0,28,44.281,46.606,46.497,44.849,0.981016,17.216,10, 18 17 16 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.07%,0.13%,0.02%,0.59%,0.00%,2.74%,13.82%,23.91%,32.32%,0.00%,0.26%,2.12%,6.55%,0.11%,0.90%,4.53%,11.93%
20, I-SLICE,20,20.15,1026200,0,25.087,45.419,47.038,46.925,45.81,0.984827,18.189,9,  -, -,0.00%,0.00%,0.00%,3.29%,3.21%,8.68%,5.11%,3.46%,18.71%,6.38%,2.40%,28.81%,19.95%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
21, P-SLICE,21,20.17,257512,0,28,44.465,46.799,46.591,45.023,0.981612,17.355,8,20, -,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.05%,0.02%,0.00%,0.46%,0.00%,1.83%,15.81%,21.65%,26.66%,0.00%,0.39%,2.41%,6.59%,0.04%,1.12%,6.50%,16.46%
22, P-SLICE,22,20.18,289672,0,28,44.402,46.749,46.583,44.968,0.981396,17.304,7, 21 20 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.00%,0.00%,0.07%,0.04%,0.00%,0.85%,0.00%,2.11%,15.61%,22.43%,33.12%,0.00%,0.23%,1.88%,5.68%,0.02%,1.14%,4.26%,12.52%
23, P-SLICE,23,20.13,292144,0,28,44.374,46.7,46.577,44.94,0.981212,17.261,6, 22 21 20 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.00%,0.10%,0.03%,0.51%,0.00%,2.15%,13.53%,24.53%,32.47%,0.00%,0.27%,1.52%,4.81%,0.03%,0.76%,4.74%,14.52%
24, P-SLICE,24,20.15,291960,0,28,44.339,46.654,46.531,44.902,0.981069,17.228,5, 23 22 21 , -,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.02%,0.00%,0.05%,0.10%,0.00%,0.62%,0.00%,2.22%,13.46%,24.88%,33.44%,0.00%,0.27%,1.88%,5.91%,0.09%,0.60%,4.17%,12.28%
25, I-SLICE,25,20.11,1019312,0,25.087,45.468,47.044,46.967,45.853,0.984844,18.194,4,  -, -,0.00%,0.00%,0.00%,2.87%,3.09%,8.94%,5.33%,3.65%,19.20%,5.97%,2.10%,28.17%,20.68%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
26, P-SLICE,26,20.14,258416,0,28,44.474,46.782,46.597,45.028,0.981525,17.334,3,25, -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.03%,0.07%,0.02%,0.39%,0.00%,1.40%,15.72%,24.00%,25.75%,0.00%,0.57%,3.15%,7.90%,0.02%,0.93%,5.59%,14.45%
27, P-SLICE,27,20.1,290064,0,28,44.405,46.744,46.606,44.972,0.98137,17.298,2, 26 25 , -,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.07%,0.02%,0.58%,0.00%,2.02%,13.76%,26.07%,31.76%,0.00%,0.19%,2.49%,7.11%,0.03%,0.80%,4.41%,10.69%
28, P-SLICE,28,20.12,286680,0,28,44.353,46.696,46.565,44.922,0.981191,17.256,1, 27 26 25 , -,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.00%,0.00%,0.07%,0.04%,0.02%,0.51%,0.00%,2.42%,14.52%,26.30%,30.28%,0.00%,0.24%,2.16%,5.18%,0.02%,0.93%,4.76%,12.54%
29, P-SLICE,29,20.07,293776,0,28,44.361,46.682,46.573,44.928,0.981175,17.253,0, 28 27 26 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.07%,0.02%,0.02%,0.61%,0.00%,2.36%,13.62%,25.19%,32.79%,0.00%,0.30%,2.40%,6.44%,0.05%,0.52%,3.73%,11.88%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Command, Date/Time, Elapsed Time, FPS, Bitrate, Y PSNR, U PSNR, V PSNR, Global PSNR, SSIM, SSIM (dB), I count, I ave-QP, I kbps, I-PSNR Y, I-PSNR U, I-PSNR V, I-SSIM (dB), P count, P ave-QP, P kbps, P-PSNR Y, P-PSNR U, P-PSNR V, P-SSIM (dB), B count, B ave-QP, B kbps, B-PSNR Y, B-PSNR U, B-PSNR V, B-SSIM (dB), MaxCLL, MaxFALL, Version,,,,,,
 --input Bosphorus.yuv -f 30 --input-res 1920x1080 --fps 120 --log-level 2 --csv logBosphorusIPPPP.csv --csv-log-level 1 --qpfile qp.txt --ssim --psnr -o Bosphorus.mp4, Tue May  5 08:13:47 2020,28.4,1.06,51979.17,44.545,46.744,46.622,45.08,0.9819,17.423,6,20.17,124097.6,45.394,47.002,46.93,18.174,24,20.18,33949.56,44.333,46.679,46.545,17.254, -, -, -, -, -, -, -,241,155,2.6,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QP=25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0, I-SLICE,0,23.21,726088,0,25.087,43.686,45.636,45.735,44.186,0.978764,16.729,29,  -, -,0.00%,0.00%,0.00%,3.76%,2.36%,10.11%,6.01%,3.50%,21.58%,6.09%,1.59%,27.63%,17.36%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
1, P-SLICE,1,23.31,126856,0,28,42.864,45.539,45.574,43.537,0.975188,16.053,28,0, -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.02%,0.00%,0.31%,0.00%,2.30%,15.03%,19.41%,17.03%,0.00%,0.99%,3.76%,7.11%,0.18%,4.37%,11.11%,18.34%
2, P-SLICE,2,23.31,162992,0,28,42.757,45.528,45.551,43.453,0.974716,15.972,27, 1 0 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.06%,0.04%,0.39%,0.00%,2.99%,15.91%,24.65%,22.34%,0.00%,0.61%,3.27%,5.00%,0.32%,2.27%,9.00%,13.12%
3, P-SLICE,3,23.25,160472,0,28,42.706,45.478,45.536,43.406,0.974426,15.922,26, 2 1 0 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,0.00%,0.02%,0.84%,0.00%,3.25%,17.04%,23.13%,22.82%,0.00%,0.65%,2.51%,4.99%,0.45%,2.08%,8.15%,14.04%
4, P-SLICE,4,23.33,158928,0,28,42.682,45.428,45.501,43.378,0.974334,15.906,25, 3 2 1 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,0.07%,0.00%,0.78%,0.00%,3.59%,15.96%,23.73%,22.57%,0.00%,0.62%,3.09%,5.72%,0.50%,2.08%,7.50%,13.76%
5, I-SLICE,5,23.19,723312,0,25.087,43.66,45.628,45.737,44.166,0.978626,16.701,24,  -, -,0.00%,0.00%,0.00%,4.06%,2.38%,9.40%,5.96%,3.37%,21.79%,6.60%,1.60%,29.09%,15.76%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
6, P-SLICE,6,23.26,120592,0,28,42.871,45.521,45.594,43.543,0.975131,16.043,23,5, -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,0.06%,0.00%,0.37%,0.00%,2.28%,15.09%,17.28%,16.44%,0.00%,0.84%,3.76%,6.18%,0.18%,4.91%,11.35%,21.20%
7, P-SLICE,7,23.32,158144,0,28,42.751,45.496,45.569,43.447,0.974597,15.951,22, 6 5 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,0.05%,0.00%,0.32%,0.00%,3.16%,18.06%,22.21%,22.44%,0.00%,0.86%,3.11%,6.11%,0.25%,2.23%,7.58%,13.58%
8, P-SLICE,8,23.31,159224,0,28,42.706,45.43,45.539,43.401,0.974399,15.917,21, 7 6 5 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.02%,0.00%,0.48%,0.00%,3.67%,18.01%,23.09%,21.01%,0.00%,0.77%,2.21%,5.64%,0.41%,2.71%,7.29%,14.68%
9, P-SLICE,9,23.35,157648,0,28,42.676,45.397,45.484,43.367,0.974257,15.893,20, 8 7 6 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.41%,0.00%,3.73%,18.58%,22.26%,22.24%,0.00%,0.92%,3.90%,7.24%,0.34%,2.59%,6.20%,11.56%
10, I-SLICE,10,23.21,718240,0,25.087,43.704,45.641,45.762,44.203,0.978645,16.705,19,  -, -,0.00%,0.00%,0.00%,3.40%,2.46%,8.91%,5.95%,2.85%,21.64%,7.17%,1.57%,30.77%,15.28%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
11, P-SLICE,11,23.24,123288,0,28,42.888,45.563,45.586,43.559,0.975116,16.041,18,10, -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.06%,0.00%,0.14%,0.00%,2.41%,14.20%,16.96%,17.25%,0.00%,1.31%,2.94%,8.11%,0.20%,4.56%,12.16%,19.64%
12, P-SLICE,12,23.27,159832,0,28,42.79,45.554,45.548,43.481,0.974711,15.971,17, 11 10 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.09%,0.07%,0.00%,0.46%,0.00%,3.33%,17.24%,23.01%,21.85%,0.00%,0.71%,3.11%,5.18%,0.30%,2.58%,8.17%,13.90%
13, P-SLICE,13,23.32,160144,0,28,42.74,45.5,45.534,43.434,0.974455,15.927,16, 12 11 10 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.12%,0.05%,0.02%,0.39%,0.00%,3.48%,17.40%,21.11%,23.01%,0.00%,0.67%,2.83%,6.26%,0.39%,2.62%,8.33%,13.31%
14, P-SLICE,14,23.29,162032,0,28,42.741,45.448,45.502,43.424,0.974424,15.922,15, 13 12 11 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.07%,0.00%,0.45%,0.00%,3.26%,16.79%,23.53%,23.13%,0.00%,0.65%,2.76%,4.61%,0.34%,2.52%,7.75%,14.09%
15, I-SLICE,15,23.19,719656,0,25.087,43.697,45.641,45.759,44.198,0.978699,16.716,14,  -, -,0.00%,0.00%,0.00%,3.56%,2.62%,9.28%,6.00%,2.90%,21.00%,7.75%,1.65%,28.61%,16.63%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
16, P-SLICE,16,23.35,125248,0,28,42.884,45.532,45.579,43.552,0.97517,16.05,13,15, -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.39%,0.00%,2.46%,14.26%,17.69%,17.09%,0.00%,1.03%,3.43%,5.72%,0.25%,4.71%,11.68%,21.30%
17, P-SLICE,17,23.31,160728,0,28,42.775,45.534,45.557,43.468,0.97472,15.972,12, 16 15 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.02%,0.04%,0.00%,0.50%,0.00%,2.86%,15.65%,22.81%,21.17%,0.00%,0.89%,3.77%,6.84%,0.45%,2.66%,8.27%,14.05%
18, P-SLICE,18,23.26,162920,0,28,42.757,45.507,45.533,43.448,0.974597,15.951,11, 17 16 15 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.02%,0.02%,0.00%,0.57%,0.00%,3.30%,18.00%,22.76%,21.73%,0.00%,0.73%,3.71%,5.50%,0.32%,2.11%,7.38%,13.80%
19, P-SLICE,19,23.22,160784,0,28,42.762,45.473,45.496,43.443,0.97468,15.965,10, 18 17 16 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.09%,0.05%,0.91%,0.00%,3.53%,16.62%,21.49%,21.31%,0.00%,0.52%,2.74%,5.39%,0.27%,2.40%,9.40%,15.29%
20, I-SLICE,20,23.14,712024,0,25.087,43.739,45.732,45.725,44.237,0.978877,16.753,9,  -, -,0.00%,0.00%,0.00%,3.63%,2.63%,8.75%,6.09%,3.24%,22.16%,7.02%,1.72%,29.38%,15.38%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
21, P-SLICE,21,23.25,123080,0,28,42.951,45.623,45.56,43.611,0.975543,16.116,8,20, -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.00%,0.26%,0.00%,2.44%,14.16%,16.39%,17.89%,0.00%,1.07%,2.84%,7.06%,0.10%,4.68%,12.34%,20.73%
22, P-SLICE,22,23.27,156896,0,28,42.871,45.615,45.546,43.548,0.975114,16.041,7, 21 20 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.02%,0.00%,0.47%,0.00%,2.79%,16.61%,20.94%,22.09%,0.00%,1.02%,3.47%,6.47%,0.26%,2.53%,7.45%,15.85%
23, P-SLICE,23,23.21,159368,0,28,42.831,45.579,45.529,43.512,0.974876,15.999,6, 22 21 20 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.09%,0.02%,0.42%,0.00%,3.17%,16.71%,20.30%,21.85%,0.00%,0.87%,2.71%,7.04%,0.28%,2.23%,8.18%,16.08%
24, P-SLICE,24,23.33,160304,0,28,42.807,45.525,45.493,43.482,0.974689,15.967,5, 23 22 21 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.07%,0.02%,0.02%,0.51%,0.00%,3.29%,16.20%,21.65%,23.36%,0.00%,0.85%,3.27%,6.21%,0.47%,2.09%,7.34%,14.64%
25, I-SLICE,25,23.11,706008,0,25.087,43.805,45.72,45.786,44.292,0.978978,16.773,4,  -, -,0.00%,0.00%,0.00%,3.43%,2.53%,9.07%,6.33%,3.21%,22.28%,7.01%,1.77%,29.55%,14.82%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
26, P-SLICE,26,23.26,128280,0,28,42.981,45.618,45.621,43.64,0.975461,16.101,3,25, -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.02%,0.00%,0.38%,0.00%,1.77%,16.50%,18.01%,15.58%,0.00%,0.98%,3.34%,7.38%,0.14%,4.14%,12.04%,19.70%
27, P-SLICE,27,23.21,157208,0,28,42.898,45.612,45.605,43.576,0.975179,16.052,2, 26 25 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.04%,0.02%,0.33%,0.00%,2.79%,17.34%,19.45%,21.65%,0.00%,0.74%,3.81%,7.07%,0.28%,2.87%,9.16%,14.40%
28, P-SLICE,28,23.22,157624,0,28,42.849,45.575,45.587,43.532,0.974924,16.007,1, 27 26 25 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.56%,0.00%,3.16%,16.44%,22.84%,21.67%,0.00%,0.60%,3.49%,6.82%,0.38%,2.62%,7.80%,13.60%
29, P-SLICE,29,23.13,158464,0,28,42.85,45.557,45.588,43.531,0.974882,16,0, 28 27 26 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.09%,0.02%,0.73%,0.00%,3.30%,16.11%,21.61%,23.63%,0.00%,0.77%,3.23%,6.23%,0.35%,2.22%,7.22%,14.46%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Command, Date/Time, Elapsed Time, FPS, Bitrate, Y PSNR, U PSNR, V PSNR, Global PSNR, SSIM, SSIM (dB), I count, I ave-QP, I kbps, I-PSNR Y, I-PSNR U, I-PSNR V, I-SSIM (dB), P count, P ave-QP, P kbps, P-PSNR Y, P-PSNR U, P-PSNR V, P-SSIM (dB), B count, B ave-QP, B kbps, B-PSNR Y, B-PSNR U, B-PSNR V, B-SSIM (dB), MaxCLL, MaxFALL, Version,,,,,,
 --input Bosphorus.yuv -f 30 --input-res 1920x1080 --fps 120 --log-level 2 --csv logBosphorusIPPPP.csv --csv-log-level 1 --qpfile qp.txt --ssim --psnr -o Bosphorus.mp4, Tue May  5 08:23:07 2020,25.19,1.19,31705.54,42.989,45.554,45.591,43.635,0.975606,16.127,6,23.18,86106.56,43.715,45.667,45.751,16.729,24,23.27,18105.28,42.808,45.526,45.55,15.989, -, -, -, -, -, -, -,241,155,2.6,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QP=28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0, I-SLICE,0,26.24,503048,0,25.087,41.964,44.408,44.591,42.598,0.97007,15.239,29,  -, -,0.00%,0.00%,0.00%,4.90%,2.51%,10.44%,6.83%,3.22%,23.34%,6.22%,1.13%,26.60%,14.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
1, P-SLICE,1,26.43,63848,0,28,41.337,44.386,44.526,42.117,0.966716,14.778,28,0, -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,0.02%,0.00%,0.37%,0.00%,3.05%,13.78%,12.08%,11.61%,0.00%,1.18%,3.12%,5.90%,0.79%,8.88%,17.32%,21.85%
2, P-SLICE,2,26.53,91024,0,28,41.201,44.4,44.539,42.018,0.965933,14.677,27, 1 0 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.09%,0.00%,0.98%,0.00%,3.95%,20.95%,18.04%,14.66%,0.00%,1.96%,3.75%,4.91%,1.07%,5.22%,10.39%,14.00%
3, P-SLICE,3,26.49,92712,0,28,41.161,44.379,44.522,41.983,0.965645,14.64,26, 2 1 0 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.00%,0.00%,0.00%,0.03%,0.00%,0.45%,0.00%,5.02%,20.73%,20.01%,14.42%,0.00%,1.30%,4.50%,5.77%,0.97%,4.59%,9.61%,12.57%
4, P-SLICE,4,26.4,90144,0,28,41.134,44.332,44.478,41.952,0.965455,14.616,25, 3 2 1 , -,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.06%,0.00%,0.60%,0.00%,4.86%,19.25%,18.89%,14.53%,0.00%,1.85%,4.15%,5.40%,1.10%,5.04%,9.85%,14.38%
