QP=22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Encode Order, Type, POC, QP, Bits, Scenecut, RateFactor, Y PSNR, U PSNR, V PSNR, YUV PSNR, SSIM, SSIM(dB), Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8
10, I-SLICE,10,20.2,1036672,0,25.087,45.388,46.987,46.951,45.783,0.98475,18.167,19,  -, -,0.00%,0.00%,0.00%,2.90%,3.43%,8.85%,4.80%,3.24%,19.92%,5.89%,1.99%,28.67%,20.30%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
11, I-SLICE,11,20.19,1034856,0,25.087,45.376,46.983,46.902,45.767,0.984722,18.159,18,  -, -,0.00%,0.00%,0.00%,2.95%,3.39%,8.03%,4.96%,3.35%,19.11%,6.26%,2.20%,30.00%,19.77%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
12, I-SLICE,12,20.19,1035120,0,25.087,45.386,46.996,46.909,45.777,0.984722,18.159,17,  -, -,0.00%,0.00%,0.00%,2.94%,3.26%,8.65%,4.87%,3.57%,18.94%,6.17%,1.96%,29.62%,20.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
13, I-SLICE,13,20.17,1033760,0,25.087,45.397,47.027,46.907,45.79,0.984749,18.167,16,  -, -,0.00%,0.00%,0.00%,3.03%,3.35%,8.69%,5.16%,3.43%,18.93%,5.69%,2.03%,28.86%,20.83%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
14, I-SLICE,14,20.18,1035000,0,25.087,45.396,47.027,46.942,45.794,0.984779,18.176,15,  -, -,0.00%,0.00%,0.00%,3.29%,3.43%,8.15%,5.07%,3.49%,18.34%,6.03%,2.04%,30.08%,20.09%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
15, I-SLICE,15,20.18,1036152,0,25.087,45.381,46.993,46.932,45.776,0.984742,18.165,14,  -, -,0.00%,0.00%,0.00%,2.99%,3.56%,8.05%,5.55%,3.29%,18.37%,5.99%,1.72%,29.57%,20.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
16, I-SLICE,16,20.18,1039792,0,25.087,45.376,47.004,46.935,45.774,0.984726,18.16,13,  -, -,0.00%,0.00%,0.00%,3.19%,3.00%,8.09%,4.95%,2.99%,18.13%,6.44%,2.07%,30.95%,20.18%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
17, I-SLICE,17,20.17,1039248,0,25.087,45.385,46.983,46.92,45.777,0.984775,18.174,12,  -, -,0.00%,0.00%,0.00%,2.87%,3.15%,7.70%,4.86%,3.43%,18.51%,6.49%,2.03%,30.26%,20.70%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
18, I-SLICE,18,20.16,1034496,0,25.087,45.394,47.012,46.923,45.787,0.98474,18.164,11,  -, -,0.00%,0.00%,0.00%,3.08%,3.26%,8.24%,4.92%,3.40%,20.27%,5.44%,1.74%,29.51%,20.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
19, I-SLICE,19,20.16,1029536,0,25.087,45.413,46.99,46.914,45.798,0.984826,18.189,10,  -, -,0.00%,0.00%,0.00%,3.12%,3.01%,8.21%,4.67%,3.59%,18.42%,6.10%,1.93%,29.81%,21.15%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
20, I-SLICE,20,20.15,1026192,0,25.087,45.419,47.038,46.925,45.81,0.984827,18.189,9,  -, -,0.00%,0.00%,0.00%,3.29%,3.21%,8.68%,5.11%,3.46%,18.71%,6.38%,2.40%,28.81%,19.95%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
21, I-SLICE,21,20.15,1018776,0,25.087,45.452,47.033,46.934,45.835,0.984905,18.212,8,  -, -,0.00%,0.00%,0.00%,2.89%,3.72%,8.08%,4.73%,3.65%,19.52%,5.70%,2.16%,28.69%,20.86%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
22, I-SLICE,22,20.14,1017640,0,25.087,45.458,47.023,46.937,45.838,0.984878,18.204,7,  -, -,0.00%,0.00%,0.00%,2.87%,3.17%,8.02%,4.99%,3.41%,18.66%,6.32%,2.08%,30.72%,19.75%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
23, I-SLICE,23,20.12,1020016,0,25.087,45.474,47.055,46.958,45.857,0.9849,18.21,6,  -, -,0.00%,0.00%,0.00%,2.83%,3.19%,8.23%,4.63%,3.31%,17.58%,6.18%,2.11%,31.49%,20.46%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
24, I-SLICE,24,20.12,1018856,0,25.087,45.466,47.04,46.968,45.851,0.984853,18.197,5,  -, -,0.00%,0.00%,0.00%,3.17%,3.11%,7.95%,4.98%,3.65%,19.19%,5.96%,1.92%,29.58%,20.48%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
25, I-SLICE,25,20.11,1019304,0,25.087,45.468,47.044,46.967,45.853,0.984844,18.194,4,  -, -,0.00%,0.00%,0.00%,2.87%,3.09%,8.94%,5.33%,3.65%,19.20%,5.97%,2.10%,28.17%,20.68%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
26, I-SLICE,26,20.1,1021048,0,25.087,45.467,47.061,46.949,45.851,0.984836,18.192,3,  -, -,0.00%,0.00%,0.00%,3.00%,3.68%,8.57%,4.80%,3.37%,20.63%,5.88%,1.88%,29.09%,19.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
27, I-SLICE,27,20.1,1017936,0,25.087,45.477,47.067,46.964,45.862,0.98492,18.216,2,  -, -,0.00%,0.00%,0.00%,2.96%,3.19%,8.73%,4.79%,3.35%,18.06%,6.30%,2.15%,30.37%,20.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
28, I-SLICE,28,20.08,1020064,0,25.087,45.485,47.056,46.962,45.866,0.984904,18.211,1,  -, -,0.00%,0.00%,0.00%,3.09%,2.94%,8.41%,4.97%,3.69%,18.61%,6.02%,2.20%,29.58%,20.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
29, I-SLICE,29,20.07,1017728,0,25.087,45.502,47.09,46.995,45.887,0.984929,18.218,0,  -, -,0.00%,0.00%,0.00%,2.96%,2.87%,8.03%,5.11%,3.28%,19.62%,5.96%,2.21%,28.84%,21.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Command, Date/Time, Elapsed Time, FPS, Bitrate, Y PSNR, U PSNR, V PSNR, Global PSNR, SSIM, SSIM (dB), I count, I ave-QP, I kbps, I-PSNR Y, I-PSNR U, I-PSNR V, I-SSIM (dB), P count, P ave-QP, P kbps, P-PSNR Y, P-PSNR U, P-PSNR V, P-SSIM (dB), B count, B ave-QP, B kbps, B-PSNR Y, B-PSNR U, B-PSNR V, B-SSIM (dB), MaxCLL, MaxFALL, Version,,,,,,
 --input Bosphorus.yuv -f 30 --input-res 1920x1080 --fps 120 --log-level 2 --csv logBosphorus.csv --csv-log-level 1 --qpfile qp.txt --ssim --psnr -o Bosphorus.mp4, Tue May  5 06:18:46 2020,42,0.71,123892.36,45.405,47.012,46.931,45.797,0.984787,18.178,30,20.16,123892.35,45.405,47.012,46.931,18.178, -, -, -, -, -, -, -, -, -, -, -, -, -, -,241,155,2.6,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QP=25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0, I-SLICE,0,23.21,726088,0,25.087,43.686,45.636,45.735,44.186,0.978764,16.729,29,  -, -,0.00%,0.00%,0.00%,3.76%,2.36%,10.11%,6.01%,3.50%,21.58%,6.09%,1.59%,27.63%,17.36%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
1, I-SLICE,1,23.2,724048,0,25.087,43.669,45.644,45.728,44.173,0.978653,16.707,28,  -, -,0.00%,0.00%,0.00%,4.12%,2.45%,9.66%,5.89%,3.04%,21.08%,7.18%,1.69%,28.18%,16.72%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2, I-SLICE,2,23.21,723120,0,25.087,43.68,45.639,45.727,44.181,0.97872,16.72,27,  -, -,0.00%,0.00%,0.00%,3.94%,2.41%,8.90%,6.05%,3.42%,22.34%,6.62%,1.58%,28.40%,16.34%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
3, I-SLICE,3,23.19,724232,0,25.087,43.68,45.662,45.754,44.187,0.978734,16.723,26,  -, -,0.00%,0.00%,0.00%,3.86%,2.67%,10.03%,6.18%,2.96%,21.89%,6.36%,1.68%,28.63%,15.75%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
4, I-SLICE,4,23.21,723080,0,25.087,43.679,45.624,45.727,44.178,0.978674,16.711,25,  -, -,0.00%,0.00%,0.00%,3.60%,2.55%,9.53%,5.63%,3.01%,22.41%,6.39%,1.72%,29.58%,15.58%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
5, I-SLICE,5,23.19,723304,0,25.087,43.66,45.628,45.737,44.166,0.978626,16.701,24,  -, -,0.00%,0.00%,0.00%,4.06%,2.38%,9.40%,5.96%,3.37%,21.79%,6.60%,1.60%,29.09%,15.76%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
6, I-SLICE,6,23.21,722760,0,25.087,43.674,45.648,45.714,44.176,0.978602,16.696,23,  -, -,0.00%,0.00%,0.00%,3.59%,2.49%,9.09%,6.01%,3.08%,22.75%,6.40%,1.59%,28.62%,16.37%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
7, I-SLICE,7,23.21,722832,0,25.087,43.668,45.625,45.711,44.168,0.978607,16.697,22,  -, -,0.00%,0.00%,0.00%,4.03%,2.44%,9.87%,6.06%,3.08%,22.26%,6.21%,1.55%,28.53%,15.98%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
8, I-SLICE,8,23.22,721616,0,25.087,43.667,45.645,45.726,44.171,0.978616,16.699,21,  -, -,0.00%,0.00%,0.00%,3.44%,2.82%,8.88%,5.83%,3.00%,21.73%,6.69%,1.87%,28.64%,17.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
9, I-SLICE,9,23.21,720072,0,25.087,43.697,45.635,45.714,44.191,0.978676,16.711,20,  -, -,0.00%,0.00%,0.00%,3.57%,2.66%,9.13%,6.26%,3.05%,20.22%,7.18%,1.95%,30.09%,15.88%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
10, I-SLICE,10,23.21,718232,0,25.087,43.704,45.641,45.762,44.203,0.978645,16.705,19,  -, -,0.00%,0.00%,0.00%,3.40%,2.46%,8.91%,5.95%,2.85%,21.64%,7.17%,1.57%,30.77%,15.28%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
11, I-SLICE,11,23.2,717408,0,25.087,43.689,45.649,45.726,44.189,0.978703,16.717,18,  -, -,0.00%,0.00%,0.00%,3.74%,2.38%,8.97%,6.99%,3.33%,22.09%,6.54%,1.46%,28.99%,15.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
12, I-SLICE,12,23.2,716864,0,25.087,43.711,45.642,45.72,44.203,0.978741,16.725,17,  -, -,0.00%,0.00%,0.00%,3.65%,2.56%,9.11%,6.25%,2.99%,21.17%,6.24%,2.03%,29.89%,16.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
13, I-SLICE,13,23.18,716736,0,25.087,43.721,45.669,45.764,44.22,0.978775,16.732,16,  -, -,0.00%,0.00%,0.00%,3.31%,2.81%,9.11%,6.24%,3.21%,20.25%,7.61%,1.88%,29.16%,16.42%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
14, I-SLICE,14,23.18,721624,0,25.087,43.72,45.696,45.747,44.22,0.97877,16.731,15,  -, -,0.00%,0.00%,0.00%,3.93%,2.64%,9.64%,6.20%,2.79%,22.00%,6.98%,1.87%,27.45%,16.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
15, I-SLICE,15,23.19,719648,0,25.087,43.697,45.641,45.759,44.198,0.978699,16.716,14,  -, -,0.00%,0.00%,0.00%,3.56%,2.62%,9.28%,6.00%,2.90%,21.00%,7.75%,1.65%,28.61%,16.63%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
16, I-SLICE,16,23.19,720624,0,25.087,43.697,45.672,45.749,44.2,0.978721,16.72,13,  -, -,0.00%,0.00%,0.00%,3.52%,2.40%,8.42%,6.05%,2.79%,22.50%,7.11%,1.53%,29.75%,15.93%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
17, I-SLICE,17,23.18,721648,0,25.087,43.703,45.632,45.71,44.195,0.978784,16.733,12,  -, -,0.00%,0.00%,0.00%,3.68%,2.51%,9.14%,6.55%,3.21%,22.26%,6.22%,1.62%,28.76%,16.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
18, I-SLICE,18,23.16,719632,0,25.087,43.71,45.672,45.731,44.208,0.978753,16.727,11,  -, -,0.00%,0.00%,0.00%,3.75%,2.75%,9.85%,5.58%,3.02%,21.29%,6.62%,1.49%,28.76%,16.89%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
19, I-SLICE,19,23.17,715752,0,25.087,43.744,45.664,45.69,44.227,0.978894,16.756,10,  -, -,0.00%,0.00%,0.00%,3.52%,2.09%,9.00%,6.08%,2.84%,21.54%,7.31%,1.85%,29.81%,15.96%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
20, I-SLICE,20,23.14,712016,0,25.087,43.739,45.732,45.725,44.237,0.978877,16.753,9,  -, -,0.00%,0.00%,0.00%,3.63%,2.63%,8.75%,6.09%,3.24%,22.16%,7.02%,1.72%,29.38%,15.38%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
21, I-SLICE,21,23.15,706992,0,25.087,43.791,45.686,45.735,44.271,0.979064,16.791,8,  -, -,0.00%,0.00%,0.00%,3.66%,2.91%,9.77%,5.96%,2.52%,21.24%,7.12%,1.76%,29.73%,15.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
22, I-SLICE,22,23.14,704888,0,25.087,43.786,45.698,45.729,44.268,0.979024,16.783,7,  -, -,0.00%,0.00%,0.00%,3.84%,2.70%,9.27%,6.17%,3.03%,20.84%,6.75%,1.94%,30.04%,15.41%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
23, I-SLICE,23,23.14,705536,0,25.087,43.813,45.699,45.793,44.296,0.979063,16.791,6,  -, -,0.00%,0.00%,0.00%,3.43%,2.39%,9.06%,6.27%,2.79%,21.39%,7.04%,1.83%,29.85%,15.94%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
24, I-SLICE,24,23.13,709464,0,25.087,43.819,45.705,45.766,44.298,0.97901,16.78,5,  -, -,0.00%,0.00%,0.00%,3.52%,2.49%,8.71%,6.46%,3.03%,21.71%,7.55%,1.64%,28.34%,16.55%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
25, I-SLICE,25,23.11,706000,0,25.087,43.805,45.72,45.786,44.292,0.978978,16.773,4,  -, -,0.00%,0.00%,0.00%,3.43%,2.53%,9.07%,6.33%,3.21%,22.28%,7.01%,1.77%,29.55%,14.82%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
26, I-SLICE,26,23.12,707184,0,25.087,43.798,45.742,45.773,44.288,0.978964,16.77,3,  -, -,0.00%,0.00%,0.00%,3.86%,2.35%,9.81%,6.72%,3.20%,21.80%,6.47%,1.60%,28.55%,15.65%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
27, I-SLICE,27,23.1,706192,0,25.087,43.804,45.757,45.797,44.297,0.979056,16.789,2,  -, -,0.00%,0.00%,0.00%,3.53%,2.63%,9.42%,5.59%,3.22%,22.68%,6.61%,1.72%,28.68%,15.91%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
28, I-SLICE,28,23.1,704392,0,25.087,43.797,45.732,45.771,44.286,0.978989,16.775,1,  -, -,0.00%,0.00%,0.00%,3.64%,2.27%,9.29%,5.89%,3.13%,22.41%,6.70%,1.60%,29.41%,15.66%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
29, I-SLICE,29,23.09,702096,0,25.087,43.83,45.76,45.781,44.315,0.979083,16.795,0,  -, -,0.00%,0.00%,0.00%,3.57%,2.26%,8.56%,6.39%,2.72%,21.21%,7.13%,1.66%,30.19%,16.31%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Command, Date/Time, Elapsed Time, FPS, Bitrate, Y PSNR, U PSNR, V PSNR, Global PSNR, SSIM, SSIM (dB), I count, I ave-QP, I kbps, I-PSNR Y, I-PSNR U, I-PSNR V, I-SSIM (dB), P count, P ave-QP, P kbps, P-PSNR Y, P-PSNR U, P-PSNR V, P-SSIM (dB), B count, B ave-QP, B kbps, B-PSNR Y, B-PSNR U, B-PSNR V, B-SSIM (dB), MaxCLL, MaxFALL, Version,,,,,,
 --input Bosphorus.yuv -f 30 --input-res 1920x1080 --fps 120 --log-level 2 --csv logBosphorus.csv --csv-log-level 1 --qpfile qp.txt --ssim --psnr -o Bosphorus.mp4, Tue May  5 06:52:37 2020,28.42,1.06,85936.32,43.728,45.673,45.743,44.223,0.978809,16.738,30,23.17,85936.32,43.728,45.673,45.743,16.738, -, -, -, -, -, -, -, -, -, -, -, -, -, -,241,155,2.6,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QP=28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0, I-SLICE,0,26.24,503048,0,25.087,41.964,44.408,44.591,42.598,0.97007,15.239,29,  -, -,0.00%,0.00%,0.00%,4.90%,2.51%,10.44%,6.83%,3.22%,23.34%,6.22%,1.13%,26.60%,14.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
1, I-SLICE,1,26.22,503544,0,25.087,41.967,44.45,44.615,42.608,0.97008,15.24,28,  -, -,0.00%,0.00%,0.00%,4.11%,2.22%,10.50%,7.11%,3.16%,23.26%,7.92%,1.52%,28.68%,11.51%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2, I-SLICE,2,26.26,500472,0,25.087,41.953,44.392,44.634,42.593,0.970023,15.232,27,  -, -,0.00%,0.00%,0.00%,4.47%,2.64%,11.21%,6.56%,2.96%,23.81%,6.75%,1.42%,27.58%,12.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
3, I-SLICE,3,26.22,503144,0,25.087,41.973,44.468,44.663,42.621,0.970064,15.238,26,  -, -,0.00%,0.00%,0.00%,4.57%,2.70%,11.21%,6.91%,3.24%,23.27%,6.34%,1.33%,28.04%,12.39%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
4, I-SLICE,4,26.23,502544,0,25.087,41.964,44.423,44.626,42.604,0.970022,15.232,25,  -, -,0.00%,0.00%,0.00%,4.28%,2.22%,10.51%,6.48%,2.84%,24.86%,6.26%,1.24%,28.74%,12.57%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
5, I-SLICE,5,26.2,501424,0,25.087,41.949,44.477,44.64,42.602,0.969915,15.216,24,  -, -,0.00%,0.00%,0.00%,5.43%,2.44%,10.63%,7.21%,2.91%,24.64%,6.23%,1.55%,26.55%,12.41%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
